family_name_1,given_name_1,family_name_2,given_name_2,year,field,subfield,type,unrecognized?,reference
Fourier,Joseph,Mukai,Shigeru,1981,Mathematics,,,,https://en.wikipedia.org/wiki/Fourier–Mukai_transform
Franck,James,Condon,Edward,1926,Chemistry,Quantum Chemistry,,,https://en.wikipedia.org/wiki/Franck–Condon_principle#cite_note-1
Franck,James,Hertz,Gustav,1914,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Franck–Hertz_experiment
Frenkel,Yakov,Kontorova,Tatiana,1938,Physics,,,,https://en.wikipedia.org/wiki/Frenkel–Kontorova_model
Fresnel,Augustin-Jean,Arago,François,,Physics,Optics,,,https://en.wikipedia.org/wiki/Fresnel–Arago_laws
Gamow,George,Teller,Edward,1936,Physics,,,,https://en.wikipedia.org/wiki/Beta_decay_transition
Gauss,Carl,Bonnet,Pierre,1900,Mathematics,Geometry,,,https://encyclopediaofmath.org/wiki/Gauss-Bonnet_theorem
Gauss,Carl,Hermite,Charles,,,,,,
Gauss,Carl,Jacobi,Carl,,Mathematics,Numerics,,,https://en.wikipedia.org/wiki/Gauss–Jacobi_quadrature
Gauss,Carl,Jordan,Wilhelm,1777,Mathematics,Algebra,,Chinese mathematicians?,https://en.wikipedia.org/wiki/Gaussian_elimination
Gauss,Carl,Kronrod,Alexander,1964,Mathematics,Numerics,,,
Gauss,Carl,Legendre,Adrien-Marie,,Mathematics,Number Theory,,,
Gauss,Carl,Manin,Yuri,1958,Mathematics,,,,https://en.wikipedia.org/wiki/Gauss–Manin_connection
Gauss,Carl,Seidel,Philipp,1823,Mathematics,Algebra,,,https://en.wikipedia.org/wiki/Gauss–Seidel_method
Gell-Mann,Murray,Nishijima,Kazuhiko,1953,Physics,Particle Physics,,Nakano,https://en.wikipedia.org/wiki/Gell-Mann–Nishijima_formula
Gell-Mann,Murray,Okubo,Susumu,1961,Physics,Particle Physics,,,https://en.wikipedia.org/wiki/Gell-Mann–Okubo_mass_formula
Gibbons,Gary,Hawking,Stephen,1978,Physics,Relativity,,,https://en.wikipedia.org/wiki/Gibbons–Hawking_ansatz
Gibbs,Josiah,Duhem,Pierre,,Physics,Thermodynamics,,,
Gibbs,Josiah,Helmholtz,Hermann,,Physics,Thermodynamics,,,
Gibbs,Josiah,Marangoni,Carlo,1855,Engineering,Fluid Mechanics,,James Thomson,https://en.wikipedia.org/wiki/Marangoni_effect
Gouy,Louis,Chapman,David,1910,Chemistry,Electronics,,,https://en.wikipedia.org/wiki/Double_layer_(surface_science)#Gouy–Chapman
Gram,Jørgen,Charlier,Carl,,Mathematics,Probability/Statistics,,,https://en.wikipedia.org/wiki/Edgeworth_series
Gram,Jørgen,Schmidt,Erhard,,Mathematics,Algebra,,Pierre-Simon Laplace,https://en.wikipedia.org/wiki/Gram–Schmidt_process
Grassmann,Hermann,Cayley,Arthur,,Mathematics,Algebra,algebra,,https://en.wikipedia.org/wiki/Grassmann–Cayley_algebra
Green,Melville,Kubo,Ryogo,1954,Physics,Thermodynamics,,,https://en.wikipedia.org/wiki/Green–Kubo_relations
Grimm,Hans,Sommerfeld,Arnold,1926,Chemistry,Solid-State Chemistry,,,https://en.wikipedia.org/wiki/Grimm–Sommerfeld_rule
