family_name,given_name,birth_year,death_year,birth_country,race,gender,reference
Mostow,George,1923,1917,United States,white,male,https://en.wikipedia.org/wiki/George_Mostow#See_also
Mostowski,Andrzej,1913,1975,Austria-Hungary,white,male,https://en.wikipedia.org/wiki/Andrzej_Mostowski
Mott,Nevill,1905,1996,England,white,male,https://en.wikipedia.org/wiki/Nevill_Francis_Mott
Motzkin,Theodore,1908,1970,Germany,white,male,https://en.wikipedia.org/wiki/Theodore_Motzkin
Mukai,Shigeru,1953,,Japan,East Asian,male,https://en.wikipedia.org/wiki/Shigeru_Mukai
Muller,Mervin,1928,2018,United States,white,male,https://en.wikipedia.org/wiki/Mervin_E._Muller
Mullin,Albert,1933,2017,United States,white,male,https://en.wikipedia.org/wiki/Albert_A._Mullin
Mullins,William,1927,2001,United States,white,male,https://en.wikipedia.org/wiki/William_W._Mullins
Mumford,David,1937,,United States,white,male,https://en.wikipedia.org/wiki/David_Mumford
Nabarro,Frank,1916,2006,England,white,male,https://en.wikipedia.org/wiki/Frank_Nabarro
Nambu,Yoichiro,1921,2015,Japan,East Asian,male,https://en.wikipedia.org/wiki/Yoichiro_Nambu
Navier,Claude-Louis,1785,1836,France,white,male,https://en.wikipedia.org/wiki/Claude-Louis_Navier
Nernst,Walther,1864,1941,Germany,white,male,https://en.wikipedia.org/wiki/Walther_Nernst
Néron,André,1922,1985,France,white,male,https://en.wikipedia.org/wiki/André_Néron
Newton,Isaac,1642,1727,England,white,male,https://en.wikipedia.org/wiki/Isaac_Newton#cite_note-OSNS-2
Nicolson,Phyllis,1917,1968,England,white,female,https://en.wikipedia.org/wiki/Phyllis_Nicolson
Nishijima,Kazuhiko,1926,2009,Japan,East Asian,male,https://en.wikipedia.org/wiki/Kazuhiko_Nishijima
Nishina,Yoshio,1890,1951,Japan,East Asian,male,https://en.wikipedia.org/wiki/Yoshio_Nishina
Nosé,Shuichi,1951,2005,Japan,East Asian,male,https://en.wikipedia.org/wiki/Shuichi_Nosé
Nyquist,Harry,1889,1976,Sweden,white,male,https://en.wikipedia.org/wiki/Harry_Nyquist
Okubo,A,,,,,,
Okubo,Susumu,1930,2015,Japan,East Asian,male,https://en.wikipedia.org/wiki/Susumu_Okubo
Onsager,Lars,1903,1976,Norway,white,male,https://en.wikipedia.org/wiki/Lars_Onsager
Oppenheimer,Robert,1904,1967,United States,white,male,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
Orr,William,1866,1934,Ireland,white,male,https://en.wikipedia.org/wiki/William_McFadden_Orr
Oxford,Stephen,,,,,,
Page,Don,1948,,United States,white,male,
Palais,Richard,1931,,United States,white,male,https://en.wikipedia.org/wiki/Richard_Palais
Paley,Raymond,1907,1933,England,white,male,https://en.wikipedia.org/wiki/Raymond_Paley
Peach,,,,,,,
Peierls,Rudolf,1907,1995,Germany,white,male,https://en.wikipedia.org/wiki/Rudolf_Peierls
Penney,William,1909,1991,England,white,male,"https://en.wikipedia.org/wiki/William_Penney,_Baron_Penney"
Penrose,Roger,1931,,England,white,male,https://en.wikipedia.org/wiki/Roger_Penrose
Peter,Fritz,1899,1949,Germany,white,male,https://en.wikipedia.org/wiki/Fritz_Peter
Phelps,Earle,1976,1953,United States,white,male,https://en.wikipedia.org/wiki/Earle_B._Phelps
Philips,Melba,1907,2004,United States,white,female,https://en.wikipedia.org/wiki/Melba_Phillips
Phragmén,Lars,1863,1937,Sweden,white,male,https://en.wikipedia.org/wiki/Lars_Edvard_Phragmén
Picard,Émile,1856,1941,France,white,male,https://en.wikipedia.org/wiki/Émile_Picard
Plana,Giovanni,1781,1864,Italy,white,male,https://en.wikipedia.org/wiki/Giovanni_Antonio_Amedeo_Plana
Planck,Max,1858,1947,Germany,white,male,https://en.wikipedia.org/wiki/Max_Planck
Plateau,Joseph,1801,1883,Belgium,white,male,https://en.wikipedia.org/wiki/Joseph_Plateau
Plesset,Milton,1908,1991,United States,white,male,https://en.wikipedia.org/wiki/Milton_S._Plesset
Poincaré,Henri,1854,1912,France,white,male,https://en.wikipedia.org/wiki/Henri_Poincaré
Poiseuille,Jean,1797,1869,France,white,male,https://en.wikipedia.org/wiki/Jean_Léonard_Marie_Poiseuille
Poisson,Siméon,1781,1840,France,white,male,https://en.wikipedia.org/wiki/Siméon_Denis_Poisson
Pólya,George,1887,1985,Hungary,white,male,https://en.wikipedia.org/wiki/George_Pólya
Poncelet,Jean-Victor,1788,1867,France,white,male,https://en.wikipedia.org/wiki/Jean-Victor_Poncelet
Poole,HH,,,,,,
Popper,P.,,,,,,
Pothenot,Laurent,1650,1732,France,white,male,https://fr.wikipedia.org/wiki/Laurent_Pothenot
Prandtl,Ludwig,1875,1953,Germany,white,male,https://en.wikipedia.org/wiki/Ludwig_Prandtl
Proudman,Joseph,1888,1975,England,white,male,https://en.wikipedia.org/wiki/Joseph_Proudman
Purser,Michael,,,Ireland,white,male,
Queisser,Hans-Joachim,1931,,Germany,white,male,https://en.wikipedia.org/wiki/Hans-Joachim_Queisser
Quillen,Daniel,1940,2011,United States,white,male,https://en.wikipedia.org/wiki/Daniel_Quillen
Ramanujan,Srinivasa,1887,1920,India,South Asian,male,https://en.wikipedia.org/wiki/Srinivasa_Ramanujan
Rao,Calyampudi,1920,,India,South Asian,male,https://en.wikipedia.org/wiki/C._R._Rao
Raphson,Joseph,1648,1715,England,white,male,https://en.wikipedia.org/wiki/Joseph_Raphson
Raychaudhuri,Amal,1923,2005,India,South Asian,male,https://en.wikipedia.org/wiki/Amal_Kumar_Raychaudhuri
Rayleigh,Lord*,1842,1919,England,white,male,"https://en.wikipedia.org/wiki/John_William_Strutt,_3rd_Baron_Rayleigh"
Rehner,John,,,,,,
